Model,Scenario,Region,Variable,Year,Comment
REMIND-MAgPIE 2.1-4.2,All,All,Capital Cost|Liquids|Biomass|w/o CCS,All,Biodiesel will be replaced by Fisher-Tropsch Type fuels.
REMIND-MAgPIE 2.1-4.2,All,All,Capital Cost|Electricity|Wind|Offshore,All,On- and off-shore are not distinguished
REMIND-MAgPIE 2.1-4.2,All,All,Capital Cost|Electricity|Gas|w/o CCS,All,"Other techs: combined heat and power, gas turbines"
REMIND-MAgPIE 2.1-4.2,All,All,Capital Cost|Electricity|Coal|w/o CCS,All,Other tech: internal gasification combined cycle power plants
REMIND-MAgPIE 2.1-4.2,All,All,Capital Cost|Electricity|Biomass|w/o CCS,All,Other tech: internal gasification combined cycle power plants
REMIND-MAgPIE 2.1-4.2,All,All,Capital Formation,All,might not fit completely
REMIND-MAgPIE 2.1-4.2,All,All,Consumption,All,quality depends on capital market realization (switch)
REMIND-MAgPIE 2.1-4.2,All,All,Interest Rate|Real,All,time preference rate as component of the interest rate is exogenous
REMIND-MAgPIE 2.1-4.2,All,All,Policy Cost|Consumption Loss,All,includes current account loss
REMIND-MAgPIE 2.1-4.2,All,All,Price|Final Energy|Residential and Commercial|Residential|Solids|Biomass,All,No differentiation between fossil and biomass for final energy prices.
REMIND-MAgPIE 2.1-4.2,All,All,Price|Final Energy|Residential and Commercial|Residential|Solids|Coal,All,No differentiation between fossil and biomass for final energy prices.
REMIND-MAgPIE 2.1-4.2,All,All,Emissions|CO2|Energy|Supply,All,"!!! warning - the sum only works with Emi|CO2|Fossil Fuels and Industry|Energy Supply, Indirect is not identical to Supply"
REMIND-MAgPIE 2.1-4.2,All,All,Emissions|Kyoto Gases,All,100-year GWPs from AR5 were used
REMIND-MAgPIE 2.1-4.2,All,All,Final Energy|Residential and Commercial|Appliances,All,also covers lighting
REMIND-MAgPIE 2.1-4.2,All,All,Final Energy|Residential and Commercial|Heating|Water,All,also contains cooking
REMIND-MAgPIE 2.1-4.2,All,All,Final Energy|Industry|Other|Electricity,All,Everything except cement steel and chemicals
REMIND-MAgPIE 2.1-4.2,All,All,Final Energy|Industry|Other|Gases,All,Everything except cement steel and chemicals
REMIND-MAgPIE 2.1-4.2,All,All,Final Energy|Industry|Other|Heat,All,Everything except cement steel and chemicals
REMIND-MAgPIE 2.1-4.2,All,All,Final Energy|Industry|Other|Hydrogen,All,Everything except cement steel and chemicals
REMIND-MAgPIE 2.1-4.2,All,All,Final Energy|Industry|Other|Liquids,All,Everything except cement steel and chemicals
REMIND-MAgPIE 2.1-4.2,All,All,Final Energy|Industry|Other|Solids,All,Everything except cement steel and chemicals
REMIND-MAgPIE 2.1-4.2,All,All,Final Energy|Other Sector,All,Carbon Dioxide Removal
REMIND-MAgPIE 2.1-4.2,All,All,Final Energy|Transportation|Freight|Other,All,“Green” synthetic fuels from hydrogen made from electrolysis + “blue” synfuels from fossil H2
REMIND-MAgPIE 2.1-4.2,All,All,Final Energy|Transportation|Gases|Fossil,All,Includes synthetic gases
REMIND-MAgPIE 2.1-4.2,All,All,Final Energy|Transportation|Other,All,“Green” synthetic fuels from hydrogen made from electrolysis + “blue” synfuels from fossil H2
REMIND-MAgPIE 2.1-4.2,All,All,Final Energy|Transportation|Passenger|Other,All,“Green” synthetic fuels from hydrogen made from electrolysis + “blue” synfuels from fossil H2
REMIND-MAgPIE 2.1-4.2,All,All,Population,All,exogenous
REMIND-MAgPIE 2.1-4.2,All,All,Population|Extreme poverty,All,Temporary mapping. Calculation uses $1.90PPP threshold
REMIND-MAgPIE 2.1-4.2,All,All,Population|Primary education,All,"from SSP, unused"
REMIND-MAgPIE 2.1-4.2,All,All,Population|Risk of Hunger,All,"prevalence of underweight is calculated based on an age-group dependent distribution of BMI, where BMI <18.5 for adults and <-2SD for children are defined as underweight"
REMIND-MAgPIE 2.1-4.2,All,All,Population|Secondary education,All,"from SSP, unused"
REMIND-MAgPIE 2.1-4.2,All,All,Population|Urban,All,"from SSP, unused"
REMIND-MAgPIE 2.1-4.2,All,All,Premature Deaths|PM2_5,All,Post-processing
REMIND-MAgPIE 2.1-4.2,All,All,Subsidies|Energy|Fossil,All,does not include Final Energy subsidies for energy carriers of fossil origin
REMIND-MAgPIE 2.1-4.2,All,All,Efficiency|Electricity|Biomass|w/o CCS,All,Combined Heat and Power plants are more common than Internal-Gasification Combind-Cycle Plants
REMIND-MAgPIE 2.1-4.2,All,All,Efficiency|Electricity|Coal|w/o CCS,All,Pulverized Coal plants are the dominant coal power plants.
REMIND-MAgPIE 2.1-4.2,All,All,Efficiency|Electricity|Gas|w/o CCS,All,Combined Heat and Power Gas plants are the most common conventional technology for gas.
REMIND-MAgPIE 2.1-4.2,All,All,Efficiency|Liquids|Biomass|w/o CCS,All,Fisher-Tropsch Fuels from ligno-cellulose are most common modern biofuel tech.
REMIND-MAgPIE 2.1-4.2,All,All,Population|Gender education gap|Primary,All,from SSP
REMIND-MAgPIE 2.1-4.2,All,All,Population|Gender education gap|Secondary,All,from SSP
